Name,ID
dunagiri,Q1265240
pic de noufonts,Q1269228
michelberg,Q1269287
riedberger horn,Q1269347
dnsberg,Q1271919
drre wand,Q1272154
dnsk snnk,Q1272672
mount adam,Q1274092
mount hum,Q1275324
eagle peak,Q1276808
ebersberg (deister),Q1279731
ebersnacken,Q1279779
ebright azimuth,Q1280075
edelweilahnerkopf,Q1283468
ushba,Q1285832
mirnock,Q1286118
alkuser rotspitze,Q1287236
lenzmoarkogel,Q1288358
mont thabor,Q1290356
geier,Q1290627
lobuche,Q1291226
pfenningberg,Q1292837
gnsekragen,Q1293529
mount bosavi,Q1297541
egginer,Q1297668
mount balbi,Q1298202
pothigai hills,Q12986765
pothigai,Q12986765
monte viso,Q1248
mount viso,Q1248
monviso,Q1248
viso,Q1248
timp,Q129705
mount timpanogos,Q129705
devnska kobyla,Q1207065
devinska kobyla,Q1207065
mount aspiring,Q1210275
mount aspiring / tititea,Q1210275
mt.aspiring,Q1210275
wiss platte,Q1221634
wiss platten,Q1221634
monte resegone,Q1231343
resegone di lecco,Q1231343
fallenbacherspitze,Q1254508
fallenbacher spitze,Q1254508
geialphorn,Q1255455
gaialphorn,Q1255455
uvbgjsse,Q1255636
rfjellet,Q1255636
lfjellet,Q1255636
dri trm,Q1257176
drei turme,Q1257176
drei trme,Q1257176
dreieggspitze,Q1257499
dreieckspitze,Q1257499
cima dura,Q1267472
durreck,Q1267472
ka wai kini,Q1269419
kawaikini,Q1269419
drenberg,Q1271193
dren-berg,Q1271193
eggstcke,Q1275927
eggstocke,Q1275927
cevedale,Q1287528
monte cevedale,Q1287528
tverrfjellet,Q12007989
zaldiaran,Q12014411
hradit,Q12020585
jezern hora,Q12024624
libn,Q12033443
ganguren,Q12258164
la om,Q12284548
mount yong belar,Q12687362
blgja,Q12713840
glitregga,Q12715101
krktindan,Q12716287
kvigtinden,Q12716355
leirnuten,Q12716484
russetinden,Q12716546
lksetinden,Q12716656
tveitakvitingen,Q12719197
tysnessta; tysnes,Q12719210
stenar,Q12803483
mount addala-shukhgelmeer,Q12861347
mount juneau,Q130544
stromboli,Q131148
mauna kea,Q131230
grande pointe des planereuses,Q136821
pointe des grands,Q136824
pointe kurz,Q136829
petite pointe d'orny,Q136838
pointe des genevois,Q136836
pointe d'otemma,Q136840
arnenhorn,Q136844
pointe de bricola,Q136859
pointe d'orny,Q136856
les jumelles,Q136875
dent de ruth,Q136873
schwalmis,Q136921
la breya,Q136990
pointe des ecandies,Q136995
pointe ronde,Q136998
pointe des plines,Q137000
smolikas,Q139362
eichelnkopf,Q1301417
eichenberg,Q1301560
mount scenery,Q1301834
eichkogel,Q1302076
mount hasan,Q1302768
eilumer horn,Q1304148
link sar,Q1307768
einkorn,Q1308232
dyrhaugstindane,Q1309125
puxberg,Q1309985
sefenspitze,Q1310789
fil liung,Q1310850
kleiner daumen,Q1311878
eisenberg,Q1312649
krieriegel,Q1312661
eisenstein,Q1313239
eiskarlspitze,Q1317808
pala di san martino,Q1318808
heidenhuschen,Q1319750
spitzerberg,Q1320114
moel hebog,Q1320739
gyala peri,Q1322521
mount sirung,Q1322666
mont tondu,Q1323168
sdliches hllhorn,Q1323890
tiger island,Q1324660
ghent kangri,Q1324750
pen y fan,Q1325530
elferkopf,Q1328493
elferspitze,Q1328517
ellerspring,Q1332043
hjelledalstind,Q1332389
fokstuguhi,Q1332404
schwarzhorn,Q1332805
elmer kreuzspitze,Q1332935
halvfarhe,Q1332965
falketind,Q1332994
kitt peak,Q1333532
pelion,Q1334825
mount pelion west,Q1335779
mount pelion east,Q1336504
mount anne,Q1336808
mehetia,Q1340711
mount ainos,Q1343616
heaval,Q1345347
greycap,Q1345637
vignemale,Q1348903
hintere eggenspitze,Q1350325
hengeberg,Q1352664
monte binga,Q1353678
leistchamm,Q1356177
mount bates,Q1361458
mount errigal,Q1361608
mader stein,Q1366387
eschenburg,Q1367002
little tahoma peak,Q1367080
eschkopf,Q1367094
eschnerberg,Q1367118
kerkis,Q1367959
hochrappenkopf,Q1369114
storsylen,Q1370893
polar bear peak,Q1373558
mount suribachi,Q1373738
kleiner falkenstein,Q1376174
putha hiunchuli,Q1377280
groer wilder,Q1378940
heuberg,Q1379209
spantik,Q1384123
piz ciavazes,Q1390218
goldbichl,Q1392269
fairfield,Q1393223
falkenberg,Q1394165
faltschonhorn,Q1395001
falzerkopf,Q1395044
grand ballon,Q1397720
teram kangri,Q1397780
grand wintersberg,Q1399583
a' chailleach,Q13125301
am faochagach,Q13125481
an coileachan,Q13125497
an socach,Q13125511
an torr,Q13125517
sgurr fiona,Q13125520
an t-sron,Q13125521
aonach air chrith,Q13125562
auchnafree hill,Q13125659
tom na gruagaich,Q13125803
beinn bheoil,Q13125810
beinn dearg,Q13125832
beinn eunaich,Q13125846
beinn fhionnlaidh,Q13125851
beinn enaiglair,Q13125848
beinn teallach,Q13125882
beinn a' chlachair,Q13125902
beinn nan aighenan,Q13125934
beinn nan ramh,Q13125936
benvane,Q13125989
bidein a' choire sheasgaich,Q13126004
cairn bannoch,Q13126494
carn chuinneag,Q13126590
carn dearg,Q13126598
carn dearg,Q13126600
carn gorm,Q13126619
carn liath,Q13126622
carn salachaidh,Q13126638
carn na caim,Q13126662
carreg y foel-gron,Q13126867
creag each,Q13127330
creag uchdag,Q13127345
creag a' mhaim,Q13127355
creag nan damh,Q13127363
eididh nan clach geala,Q13128115
fiarach,Q13128436
garbh chioch mhor,Q13128558
geal charn,Q13128596
groban,Q13128775
mullach an rathain,Q13129542
little wyvis,Q13129589
maol chinn-dearg,Q13129919
maol mor,Q13129933
mayar,Q13129980
meall chuaich,Q13130010
meall corranaich,Q13130011
meall dearg,Q13130017
meall gorm,Q13130031
mullach coire mhic fhearchair,Q13130269
mullach fraoch-choire,Q13130274
sgor gaibhre,Q13131298
sgorr nam fiannaidh,Q13131320
sgurr fhuar-thuill,Q13131327
sgurr nan coireachan,Q13131387
sgurr nan conbhairean,Q13131393
spidean mialach,Q13131534
sron a' choire ghairbh,Q13131550
stob coire sgriodain,Q13131652
the stob,Q13131839
toll creagach,Q13131932
tolmount,Q13131933
tom a' choinich,Q13131942
tullich hill,Q13132054
west knock,Q13132269
rajuntay,Q13190535
beinn eilideach,Q13194543
sgurr dubh mor,Q13194813
koli,Q13360737
flagstone peak,Q13391553
hart,Q13882336
matterhorn,Q1374
gran paradiso,Q1372
grivola,Q1373
mount diablo,Q13359059
mt. diablo,Q13359059
mount mckinley,Q130018
denali,Q130018
mount denali,Q130018
ettels-berg,Q1371746
ettelsberg,Q1371746
tenegua,Q1374413
teneguia,Q1374413
volcn wolf,Q1376373
volcan wolf,Q1376373
schillerkopf,Q1381126
kessikopf,Q1381126
mount agassez,Q1385505
mount agassiz,Q1385505
mount kibo,Q1394606
kibo,Q1394606
an sgarsoch,Q13125504
beinn iutharn mhr,Q13125858
beinn iutharn mhor,Q13125858
carn ealar,Q13126657
carn an fhidhleir,Q13126657
monadh mr,Q13130213
monadh mor,Q13130213
sgrr na ruaidhe,Q13131376
sgurr na ruaidhe,Q13131376
creag na h-eararuidh,Q13131697
stuc na cabaig,Q13131697
holy mountain,Q130321
mount athos,Q130321
diamer,Q130736
diamir,Q130736
nanga parbat,Q130736
alpgundkopf,Q1361612
alpgund kopf,Q1361612
kh-e heram dgh,Q1364168
savalan,Q1364168
sabalan,Q1364168
tte du gant,Q136871
tete du geant,Q136871
pointe de chesery,Q136877
pointe de chsery,Q136877
mount jukes,Q1300783
mount jukes; tasmania,Q1300783
mount jukes; tas,Q1300783
velk antoryje,Q1305490
czantoria wielka,Q1305490
mount sorell; tasmania,Q1314313
mount sorell,Q1314313
hibok-hibok volcano,Q1319819
mount hibok-hibok,Q1319819
catarman volcano,Q1319819
ballon d'alsace,Q1334057
alsatian belchen,Q1334057
mount merapi,Q134108
merapi,Q134108
mount emeishan,Q134927
mount omei,Q134927
mount emei,Q134927
mount nemrk,Q1337784
mount dousko,Q1337784
mount moco,Q1348116
mount mco,Q1348116
morro do moco,Q1348116
erbacher kopf,Q1348202
erbacherkopf,Q1348202
puncak trikora,Q1349622
puncak trikora; mt wilhelmina,Q1349622
lycabettos,Q1357713
mount lycabettus,Q1357713
mount lycabettos,Q1357713
mount lykabettos,Q1357713
lycabettus,Q1357713
lykabettos,Q1357713
mount lykavittos,Q1357713
lykavittos,Q1357713
silberen,Q141362
sassauna,Q141457
schilt,Q141463
dent de savigny,Q141470
mutteristock,Q141486
tavan bogd,Q143008
zahnkofel,Q143684
pala di santa,Q146899
south barrule,Q147437
snaefell,Q147557
zard kh,Q147826
paulet island,Q148154
federispitz,Q1400602
hirschenstein,Q1402730
brec de chambeyron,Q1403062
mcarthur peak,Q1405167
red slate mountain,Q1405920
schreierkopf,Q1406933
grand galibier,Q1407209
redtop peak,Q1410043
reissend nollen,Q1410213
thamserku,Q1410514
wildmahdspitze,Q1411715
kuhbett,Q1411730
seebuck,Q1412192
la maliciosa,Q1412468
mont chaberton,Q1413307
litnisschrofen,Q1414331
tofua,Q1414448
monte cinto,Q1415428
ollage,Q1420297
flyen,Q1420616
fissenkenkopf,Q1420936
pletzen,Q1421419
istor-o-nal,Q1421873
mount discovery,Q1422550
mount frakes,Q1422562
mount moroto,Q1422911
himmelschrofen,Q1423281
mount hagen,Q1424033
whitetop mountain,Q1425524
le soliat,Q1427815
mururata,Q1428300
penser weihorn,Q1428401
floning,Q1429163
marwees,Q1429622
num ri,Q1429708
krn,Q1430355
fluebrig,Q1430585
christoffelberg,Q1430850
pilsko,Q1431424
mount washburn,Q1431845
sahand,Q1432738
folarskardnuten,Q1435305
kleiner wilder,Q1435439
rmerstein,Q1436941
forollhogna,Q1437903
mount odin,Q1439530
mont pelvoux,Q1440833
mera peak,Q1441337
frankland peak,Q1445118
kulpenberg,Q1448454
pangaion hills,Q1448901
franzosenkopf,Q1450459
plankenhorn,Q1451479
hferspitze,Q1453726
freinberg,Q1454600
mount nasorolevu,Q1457299
oberstdorfer hammerspitze,Q1462806
stiftes,Q1462833
grauer schimmel,Q1462968
friesling,Q1464804
jade dragon snow mountain,Q1465660
fromberghorn,Q1469811
pico de so tom,Q1471391
fuchskarspitze,Q1472611
fuchskaute,Q1472613
furtschaglspitze,Q1475182
torghatten,Q1476265
koboltstaler kpfe,Q1477862
monte bondone,Q1478747
incahuasi,Q1478849
pealara,Q1478880
khunyang chhish,Q1480438
jakobshorn,Q1480696
mount thielsen,Q1481220
platthorn,Q1481372
matajur,Q1481385
polster,Q1485833
gafallengrat,Q1491037
gaichtspitze,Q1491189
gaisberg,Q1491339
gaisberg,Q1491343
gaislachkogel,Q1491381
gaiskogel,Q1491557
vlzberger kpfchen,Q1492261
gallner,Q1492510
gannett peak,Q1493617
mount stuart,Q1493735
gasherbrum v,Q1495157
gauri sankar,Q1496289
