Name,ID
nedre kollsj,Q10960414
ysvatn,Q10960418
grytingen,Q10960438
langevannet,Q10960484
breivannet,Q10960510
bliksrudlangevannet,Q10960558
da qaidam hu,Q10935932
dachaidan hu,Q10935932
bergsj,Q10960625
mazais ludzas ezers,Q10970477
singanallur lake,Q10974239
loch na claise,Q10976423
laukesas,Q10985551
geraimovas ilzas ezers,Q10986053
lake pskov,Q1144905
lake pihkva,Q1144905
urayama dam,Q1153341
urayama-damu,Q1153341
hongze lake,Q1154914
hungtze hu,Q1154914
hungtze-hu,Q1154914
danau tondano,Q1159279
lake tondano,Q1159279
danau linow,Q1159276
lake linow,Q1159276
selbusjen,Q1170078
selbusj,Q1170078
ana yq,Q116685
lake tana,Q116685
tsana,Q116685
tana hyk,Q116685
ozero shotozero,Q117036
shotozero,Q117036
lac kinkony,Q1105705
lake kinkony,Q1105705
lr lake,Q1107134
lere lake,Q1107134
lake volgo,Q1112632
ozero volgo,Q1112632
lake oku,Q1115550
lac oku,Q1115550
ubinskoye lake,Q1115650
ozero ubinskoye,Q1115650
lake ubinskoye,Q1115650
ubinskoe lake,Q1115650
lake ubinskoe,Q1115650
kronotskoye lake,Q1115810
lake kronotskoe,Q1115810
kronotskoe lake,Q1115810
lake kronotskoye,Q1115810
hp,Q1124746
hop,Q1124746
hirgis nuur,Q1125601
khyargas nuur,Q1125601
lake herbert,Q1127579
herbert lake,Q1127579
laguna corani,Q1131912
corani lake,Q1131912
spanggur tso,Q11091346
spanggur lake,Q11091346
spanggur co,Q11091346
crescent lake,Q11091988
moon lake,Q11091988
batinovac,Q11104157
bakinovac,Q11104157
kruginovac,Q11105029
okrugljaj,Q11105029
okrugljak,Q11105029
kulykol,Q11123649
klykl,Q11123649
wuchang hu,Q11124334
lake wuchang,Q11124334
lake ximaoli,Q11128541
lake maoli,Q11128541
lake po,Q11143308
po hu,Q11143308
carp lake,Q11172723
liyu lake,Q11172723
huang hu,Q11177963
lake huang,Q11177963
lake shoji,Q11190939
lake shji,Q11190939
storfjorden,Q11220383
flyvatnet,Q11220383
napevatnet,Q11223902
napevatn,Q11223902
glitre,Q11226996
glitrevann,Q11226996
taty,Q1136017
lake taty,Q1136017
crno jezero,Q1140650
black lake,Q1140650
nedre fagervollvatnet,Q11234009
holmvatnet,Q11234009
dechsendorfer weiher,Q1181824
groer bischofsweiher,Q1181824
demenz-see,Q1185329
demenzsee,Q1185329
demminer see,Q1185792
demmin-see,Q1185792
lake st. clair,Q1199171
lake st clair,Q1199171
hell of lapland,Q11029981
pakasaivo,Q11029981
ounasjrvi,Q11801192
ovnnesjvri,Q11801192
lake misuzu,Q11609422
misuzu-ko,Q11609422
sunijrvi,Q11865196
iso sunijrvi,Q11865196
jlinjrvi,Q11868462
jlijrvi,Q11868462
aso bay,Q11657656
aso-kai,Q11657656
gbokie jezioro,Q11708287
deep lake,Q11708287
jezioro czarne,Q11726195
black lake,Q11726195
czchowskie lake,Q11726219
jezioro czchowskie,Q11726219
doba lake,Q11726237
jezioro dobskie,Q11726237
jezioro kruszyskie,Q11726473
krsziscz jezoro,Q11726473
kruszyskie lake,Q11726473
kiernoz wielki,Q11739035
great kiernoz,Q11739035
kiernoz may,Q11739033
litle kiernoz,Q11739033
klimek,Q11740100
konik,Q11740100
mamry mae,Q11766954
little mamry,Q11766954
jezioro luterskie,Q11726543
lake luterskie,Q11726543
oporzyskie lake,Q11726630
lake oporzyskie,Q11726630
jezioro przysta,Q11726699
lake przysta,Q11726699
jusanko,Q11271894
lake jsan,Q11271894
lake jusanko,Q11271894
lake kamo,Q11398862
kamo ko,Q11398862
lake of juni,Q11404807
juniko,Q11404807
taish-ike,Q11436714
taish pond,Q11436714
ono,Q11437111
lake ono,Q11437111
lake ezu,Q11551239
ezu-ko,Q11551239
hinuma,Q11559648
hi-numa,Q11559648
midorogaike,Q11560138
mizorogaike,Q11560138
shiretoko five lakes,Q11584571
shiretokogoko,Q11584571
ala-kintausjrvi,Q11850477
lake ala-kintaus,Q11850477
ala-kintaus,Q11850477
alasjrvi,Q11850545
alasenjrvi,Q11850545
hirvijrvi,Q11863409
hirvijrvi; mynmki,Q11863409
ruohostenjrvi,Q11865176
iso-ruohonen,Q11865176
valkeisenlampi,Q11900138
valkeinen,Q11900138
pitkjrvi,Q11900870
velskolan pitkjrvi,Q11900870
virmas,Q11901686
virmasvesi,Q11901686
gillsvann,Q11971981
gillsvannet,Q11971981
loja,Q11986699
loia,Q11986699
logja,Q11986699
michigan,Q1169
lake michigan,Q1169
moolkamudda pool,Q110615
regenbogensee,Q114035
lanker see,Q114397
suttle lake,Q117764
lake chzenji,Q117923
berglsteiner see,Q119248
lake elton,Q1101008
lake jipe,Q1101364
clinton-colden lake,Q1101640
cluny lagoon,Q1103374
cobbler pool,Q1104607
cochrane lake,Q1105159
krivoye lake,Q1107544
mifjrur,Q1109572
lake dyupkun,Q1109799
lago di alserio,Q1110115
priest lake,Q1110527
jezioro zygmunta augusta,Q1110890
lake molveno,Q1112151
ozero vel'ye,Q1112351
lake vselug,Q1112700
colville lake,Q1112986
colyeda pool,Q1113041
rummelsburger see,Q1114660
lake chelan,Q1115201
lake bolshoye toko,Q1115680
lake erastvere,Q1118518
kokora,Q1120394
lake momella kubwa,Q1123146
frostastaavatn,Q1123643
lago malinvern,Q1123881
concordiasee,Q1124200
conesus lake,Q1124745
langavatn,Q1124790
ferguson lake,Q1125455
coniston water,Q1126099
outer lake (tihany),Q1126452
la poudre pass lake,Q1127085
lago la vota,Q1127113
lake katam,Q1127512
lake lesina,Q1129358
conventer see,Q1129374
convict lake,Q1129457
coogeenariner pool,Q1129548
coolcoolinnarriner pool,Q1129684
coolenar pool,Q1129698
coondina pool,Q1129751
